Profile Name,Source,Click Utc Ts,Device Type
User 4,Source 1,2022-09-30 14:53:49,Device Type 0
User 4,Source 1,2022-09-30 14:53:49,Device Type 7
User 4,Source 1,2022-09-30 14:53:49,Device Type 3
User 4,Source 1,2022-09-30 14:53:49,Device Type 0
User 4,Source 1,2022-09-30 14:53:49,Device Type 8
User 4,Source 1,2022-09-30 14:53:24,Device Type 5
User 4,Source 1,2022-09-30 14:53:24,Device Type 1
User 4,Source 1,2022-09-30 14:53:24,Device Type 4
User 4,Source 1,2022-09-30 14:53:24,Device Type 2
User 4,Source 1,2022-09-30 14:53:24,Device Type 2
User 4,Source 1,2022-09-30 14:53:24,Device Type 0
User 4,Source 1,2022-09-30 14:53:24,Device Type 0
User 4,Source 1,2022-09-30 14:53:24,Device Type 2
User 4,Source 1,2022-09-30 14:53:24,Device Type 0
User 4,Source 1,2022-09-30 14:53:24,Device Type 6
User 4,Source 1,2022-09-30 14:53:24,Device Type 1
User 4,Source 1,2022-09-30 14:53:24,Device Type 3
User 4,Source 1,2022-09-30 14:53:24,Device Type 1
User 4,Source 1,2022-09-30 14:53:24,Device Type 0
User 4,Source 1,2022-09-30 14:53:24,Device Type 0
User 4,Source 1,2022-09-30 14:53:24,Device Type 7
User 4,Source 1,2022-09-30 14:53:24,Device Type 3
User 4,Source 1,2022-09-30 14:53:24,Device Type 0
User 4,Source 1,2022-09-30 14:53:24,Device Type 8
User 4,Source 1,2022-09-30 14:53:24,Device Type 5
User 4,Source 1,2022-09-30 14:53:24,Device Type 1
User 4,Source 1,2022-09-30 14:53:24,Device Type 4
User 4,Source 1,2022-09-30 14:53:24,Device Type 2
User 4,Source 1,2022-09-30 14:53:24,Device Type 2
User 4,Source 1,2022-09-30 14:53:24,Device Type 0
User 4,Source 1,2022-09-30 14:53:24,Device Type 0
User 4,Source 1,2022-09-30 14:53:24,Device Type 2
User 4,Source 1,2022-09-30 14:53:24,Device Type 0
User 4,Source 1,2022-09-30 14:53:24,Device Type 6
User 4,Source 1,2022-09-30 14:53:24,Device Type 1
User 4,Source 1,2022-09-30 14:53:24,Device Type 3
User 4,Source 1,2022-09-30 14:53:24,Device Type 1
User 4,Source 1,2022-09-30 14:53:24,Device Type 0
User 4,Source 1,2022-09-30 14:53:24,Device Type 0
User 4,Source 1,2022-09-30 14:53:24,Device Type 7
User 4,Source 1,2022-09-30 14:53:24,Device Type 3
User 4,Source 1,2022-09-30 14:53:24,Device Type 0
User 4,Source 1,2022-09-30 14:53:24,Device Type 8
User 4,Source 1,2022-09-30 14:53:20,Device Type 5
User 4,Source 1,2022-09-30 14:53:20,Device Type 1
User 4,Source 1,2022-09-30 14:53:20,Device Type 4
User 4,Source 1,2022-09-30 14:53:20,Device Type 2
User 4,Source 1,2022-09-30 14:53:20,Device Type 2
User 4,Source 1,2022-09-30 14:53:20,Device Type 0
User 4,Source 1,2022-09-30 14:53:20,Device Type 0
User 4,Source 1,2022-09-30 14:53:20,Device Type 2
User 4,Source 1,2022-09-30 14:53:20,Device Type 0
User 4,Source 1,2022-09-30 14:53:20,Device Type 6
User 4,Source 1,2022-09-30 14:53:20,Device Type 1
User 4,Source 1,2022-09-30 14:53:20,Device Type 3
User 4,Source 1,2022-09-30 14:53:20,Device Type 1
User 4,Source 1,2022-09-30 14:53:20,Device Type 0
User 4,Source 1,2022-09-30 14:53:20,Device Type 0
User 4,Source 1,2022-09-30 14:53:20,Device Type 7
User 4,Source 1,2022-09-30 14:53:20,Device Type 3
User 4,Source 1,2022-09-30 14:53:20,Device Type 0
User 4,Source 1,2022-09-30 14:53:20,Device Type 8
User 4,Source 1,2022-09-30 14:53:20,Device Type 5
User 4,Source 1,2022-09-30 14:53:20,Device Type 1
User 4,Source 1,2022-09-30 14:53:20,Device Type 4
User 4,Source 1,2022-09-30 14:53:20,Device Type 2
User 4,Source 1,2022-09-30 14:53:20,Device Type 2
User 4,Source 1,2022-09-30 14:53:20,Device Type 0
User 4,Source 1,2022-09-30 14:53:20,Device Type 0
User 4,Source 1,2022-09-30 14:53:20,Device Type 2
User 4,Source 1,2022-09-30 14:53:20,Device Type 0
User 4,Source 1,2022-09-30 14:53:20,Device Type 6
User 4,Source 1,2022-09-30 14:53:20,Device Type 1
User 4,Source 1,2022-09-30 14:53:20,Device Type 3
User 4,Source 1,2022-09-30 14:53:20,Device Type 1
User 4,Source 1,2022-09-30 14:53:20,Device Type 0
User 4,Source 1,2022-09-30 14:53:20,Device Type 0
User 4,Source 1,2022-09-30 14:53:20,Device Type 7
User 4,Source 1,2022-09-30 14:53:20,Device Type 3
User 4,Source 1,2022-09-30 14:53:20,Device Type 0
User 4,Source 1,2022-09-30 14:53:20,Device Type 8
User 4,Source 1,2022-09-30 14:53:07,Device Type 5
User 4,Source 1,2022-09-30 14:53:07,Device Type 1
User 4,Source 1,2022-09-30 14:53:07,Device Type 4
User 4,Source 1,2022-09-30 14:53:07,Device Type 2
User 4,Source 1,2022-09-30 14:53:07,Device Type 2
User 4,Source 1,2022-09-30 14:53:07,Device Type 0
User 4,Source 1,2022-09-30 14:53:07,Device Type 0
User 4,Source 1,2022-09-30 14:53:07,Device Type 2
User 4,Source 1,2022-09-30 14:53:07,Device Type 0
User 4,Source 1,2022-09-30 14:53:07,Device Type 6
User 4,Source 1,2022-09-30 14:53:07,Device Type 1
User 4,Source 1,2022-09-30 14:53:07,Device Type 3
User 4,Source 1,2022-09-30 14:53:07,Device Type 1
User 4,Source 1,2022-09-30 14:53:07,Device Type 0
User 4,Source 1,2022-09-30 14:53:07,Device Type 0
User 4,Source 1,2022-09-30 14:53:07,Device Type 7
User 4,Source 1,2022-09-30 14:53:07,Device Type 3
User 4,Source 1,2022-09-30 14:53:07,Device Type 0
User 4,Source 1,2022-09-30 14:53:07,Device Type 8
User 4,Source 1,2022-09-30 14:53:07,Device Type 5
User 4,Source 1,2022-09-30 14:53:07,Device Type 1
User 4,Source 1,2022-09-30 14:53:07,Device Type 4
User 4,Source 1,2022-09-30 14:53:07,Device Type 2
User 4,Source 1,2022-09-30 14:53:07,Device Type 2
User 4,Source 1,2022-09-30 14:53:07,Device Type 0
User 4,Source 1,2022-09-30 14:53:07,Device Type 0
User 4,Source 1,2022-09-30 14:53:07,Device Type 2
User 4,Source 1,2022-09-30 14:53:07,Device Type 0
User 4,Source 1,2022-09-30 14:53:07,Device Type 6
User 4,Source 1,2022-09-30 14:53:07,Device Type 1
User 4,Source 1,2022-09-30 14:53:07,Device Type 3
User 4,Source 1,2022-09-30 14:53:07,Device Type 1
User 4,Source 1,2022-09-30 14:53:07,Device Type 0
User 4,Source 1,2022-09-30 14:53:07,Device Type 0
User 4,Source 1,2022-09-30 14:53:07,Device Type 7
User 4,Source 1,2022-09-30 14:53:07,Device Type 3
User 4,Source 1,2022-09-30 14:53:07,Device Type 0
User 4,Source 1,2022-09-30 14:53:07,Device Type 8
User 4,Source 1,2022-09-30 14:52:59,Device Type 5
User 4,Source 1,2022-09-30 14:52:59,Device Type 1
User 4,Source 1,2022-09-30 14:52:59,Device Type 4
